,cross_val,is_stand,fold,k,weight,metric,acc,f1
74,KFold,True,2,25,distance,euclidean,0.7421875,0.6820751264417635
75,KFold,True,2,25,distance,manhattan,0.75,0.6915419561739967
76,KFold,True,2,25,mma,euclidean,0.7434895833333333,0.6848339513043664
77,KFold,True,2,25,mma,manhattan,0.7578125,0.702009895086809
78,KFold,True,2,30,uniform,euclidean,0.734375,0.6561871051014075
79,KFold,True,2,30,uniform,manhattan,0.7565104166666667,0.678813854128292
80,KFold,True,2,30,distance,euclidean,0.7565104166666666,0.6968203417903174
81,KFold,True,2,30,distance,manhattan,0.73046875,0.6571311594355886
82,KFold,True,2,30,mma,euclidean,0.7591145833333334,0.6999252130753597
83,KFold,True,2,30,mma,manhattan,0.7265625,0.6575746314876749
84,KFold,True,3,1,uniform,euclidean,0.6875,0.6446413951673489
85,KFold,True,3,1,uniform,manhattan,0.6822916666666666,0.6474906100083843
86,KFold,True,3,1,distance,euclidean,0.6744791666666666,0.6380841836382192
87,KFold,True,3,1,distance,manhattan,0.6692708333333334,0.6304561173812339
88,KFold,True,3,1,mma,euclidean,0.6744791666666666,0.6336830844415242
89,KFold,True,3,1,mma,manhattan,0.6848958333333334,0.6432139044916667
90,KFold,True,3,2,uniform,euclidean,0.70703125,0.619012713106396
91,KFold,True,3,2,uniform,manhattan,0.703125,0.6089917551010489
92,KFold,True,3,2,distance,euclidean,0.72265625,0.6887729624587019
93,KFold,True,3,2,distance,manhattan,0.7005208333333334,0.6661989792968545
94,KFold,True,3,2,mma,euclidean,0.6927083333333334,0.651958004846862
95,KFold,True,3,2,mma,manhattan,0.6848958333333334,0.6502496706990641
96,KFold,True,3,3,uniform,euclidean,0.7200520833333334,0.6791745140265134
97,KFold,True,3,3,uniform,manhattan,0.7135416666666666,0.6671504562953653
98,KFold,True,3,3,distance,euclidean,0.71875,0.680490332096852
99,KFold,True,3,3,distance,manhattan,0.7291666666666666,0.6914244961484657
100,KFold,True,3,3,mma,euclidean,0.7278645833333334,0.6894912345786769
101,KFold,True,3,3,mma,manhattan,0.72265625,0.6793297249266091
102,KFold,True,3,4,uniform,euclidean,0.7057291666666666,0.631688235253662
103,KFold,True,3,4,uniform,manhattan,0.73046875,0.6643365701045676
104,KFold,True,3,4,distance,euclidean,0.7330729166666666,0.6988336527264946
105,KFold,True,3,4,distance,manhattan,0.7057291666666666,0.6628728543024958
106,KFold,True,3,4,mma,euclidean,0.7278645833333334,0.686371737911884
107,KFold,True,3,4,mma,manhattan,0.71484375,0.6769299923841634
108,KFold,True,3,5,uniform,euclidean,0.7317708333333334,0.6939854746579301
109,KFold,True,3,5,uniform,manhattan,0.7083333333333334,0.6625204019179879
110,KFold,True,3,5,distance,euclidean,0.73046875,0.6942941004932048
111,KFold,True,3,5,distance,manhattan,0.7291666666666666,0.6885680400368627
112,KFold,True,3,5,mma,euclidean,0.7291666666666666,0.6868005286264457
113,KFold,True,3,5,mma,manhattan,0.7278645833333334,0.6805719223617815
114,KFold,True,3,6,uniform,euclidean,0.7174479166666666,0.6507297105836019
115,KFold,True,3,6,uniform,manhattan,0.7213541666666666,0.6517083186263624
116,KFold,True,3,6,distance,euclidean,0.71875,0.6772374336772943
117,KFold,True,3,6,distance,manhattan,0.7239583333333334,0.6848894070742284
118,KFold,True,3,6,mma,euclidean,0.7265625,0.6851668479575457
119,KFold,True,3,6,mma,manhattan,0.7356770833333334,0.6939387760912041
120,KFold,True,3,7,uniform,euclidean,0.7356770833333334,0.692135524978615
121,KFold,True,3,7,uniform,manhattan,0.7552083333333334,0.7151219490863484
122,KFold,True,3,7,distance,euclidean,0.7278645833333334,0.6828196060906413
123,KFold,True,3,7,distance,manhattan,0.734375,0.6901203332389175
124,KFold,True,3,7,mma,euclidean,0.7421875,0.7047528475778457
125,KFold,True,3,7,mma,manhattan,0.7174479166666666,0.6683636501445277
126,KFold,True,3,8,uniform,euclidean,0.7434895833333334,0.6898189662570674
127,KFold,True,3,8,uniform,manhattan,0.7135416666666666,0.6442445517272561
128,KFold,True,3,8,distance,euclidean,0.734375,0.6917603933676323
129,KFold,True,3,8,distance,manhattan,0.73046875,0.6847217945479018
130,KFold,True,3,8,mma,euclidean,0.7291666666666666,0.6873300717692723
131,KFold,True,3,8,mma,manhattan,0.7239583333333334,0.6761719790549068
132,KFold,True,3,9,uniform,euclidean,0.75,0.7125522317814194
133,KFold,True,3,9,uniform,manhattan,0.7369791666666666,0.6872571109950308
134,KFold,True,3,9,distance,euclidean,0.75,0.7102822415515915
135,KFold,True,3,9,distance,manhattan,0.7252604166666666,0.680694378246522
136,KFold,True,3,9,mma,euclidean,0.7434895833333334,0.7004572599300704
137,KFold,True,3,9,mma,manhattan,0.7278645833333334,0.6762743667917501
138,KFold,True,3,10,uniform,euclidean,0.73828125,0.6800633764766137
139,KFold,True,3,10,uniform,manhattan,0.7317708333333334,0.6640550745017195
140,KFold,True,3,10,distance,euclidean,0.75,0.7072622714688749
141,KFold,True,3,10,distance,manhattan,0.74609375,0.7024132280285811
